state,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment,code
OH,Columbus College Of Art & Design,Ohio,1168931,1801090,3143000,6113021,0,303900
NC,Rockingham Community College,North Carolina,933713,1876718,3288000,6098431,0,295800
TN,Tennessee Wesleyan University,Tennessee,1192356,1787165,3116000,6095521,0,352500
FL,Warner University,Florida,1078101,1829015,3185000,6092116,0,884800
TN,Tennessee College Of Applied Technology - Morristown,Tennessee,877779,1711569,3501000,6090348,0,535100
VA,Averett University,Virginia,1055659,1828557,3200000,6084216,21268000,370200
MA,Hampshire College,Massachusetts,1199199,1776110,3105000,6080309,0,466100
CT,Connecticut College,Connecticut,1202711,1753472,3114000,6070183,313510000,137900
IA,Grinnell College,Iowa,1190471,1761684,3107000,6059155,2069953000,186800
IL,Trinity Christian College,Illinois,1067149,1812382,3176000,6055531,0,177100
NC,Davidson College,North Carolina,1220411,1743286,3090000,6053697,881465000,291800
NY,Cuny Graduate School & University Center,New York,776134,1877959,3393000,6047093,0,476500
IN,Taylor University,Indiana,1073311,1793326,3178000,6044637,98717000,183800
CA,College Of The Siskiyous,California,785260,1909035,3349000,6043295,0,118700
KS,Friends University,Kansas,1018077,1814055,3211000,6043132,53324000,191800
OR,Klamath Community College,Oregon,699314,1932447,3391000,6022761,0,3428300
KS,Dodge City Community College,Kansas,949264,1820945,3251000,6021209,0,191300
ND,Bismarck State College,North Dakota,914066,1834237,3249000,5997303,0,298800
AR,Arkansas State University Mid-South,Arkansas,855413,1869661,3266000,5991074,0,2348200
MI,Montcalm Community College,Michigan,861963,1861770,3259000,5982733,0,229500
CA,Pacific Union College,California,1138223,1763069,3080000,5981292,0,125800
PA,Swarthmore College,Pennsylvania,1200865,1729865,3049000,5979730,2131553000,337000
VT,Vermont Technical College,Vermont,971406,1813509,3186000,5970915,0,369800
GA,Agnes Scott College,Georgia,1148230,1754874,3063000,5966104,217142000,154200
CO,Northeastern Junior College,Colorado,868359,1708469,3380000,5956828,0,136100
CO,Otero Junior College,Colorado,902921,1839224,3213000,5955145,0,136200
WI,Southwest Wisconsin Technical College,Wisconsin,783630,1868092,3299000,5950722,0,766900
NY,Union College,New York,1159940,1707070,3033000,5900010,0,288900
CA,American Career College,California,5944572,0,0,5944572,0,2241800
WV,Alderson Broaddus University,West Virginia,1126674,1753272,3057000,5936946,0,380600
